LAYER,GM_TYPE,PHH_ID,Type,Pop2016,TDwell2016,URDwell206,DBUID_Idid,HEXUID_IdU,Pruid_Prid,Latitude,Longitude,ONS_ID,ONS_Name,ONS_Region,status,walkscore,description,updated,snapped_lat,snapped_lon,bike.score,bike.description
3,Unknown Point Feature,1398312,3,11.875,3.625,3.625,35060624001,ON45340758,35,45.323436,-75.78937,3110,TREND-ARLINGTON,OTTAWA,1,22,Car-Dependent,2023-02-01 02:40:29.127585,45.324,-75.789,69,Bikeable
3,Unknown Point Feature,1398352,3,39.2,13,12.8,35060625002,ON45340758,35,45.326554,-75.791568,3110,TREND-ARLINGTON,OTTAWA,1,24,Car-Dependent,2023-02-01 02:42:24.031816,45.327,-75.792,70,Very Bikeable
4,Unknown Point Feature,1419686,4,6.83333333333333,2.5,2.5,35061288004,ON45340758,35,45.331751,-75.794644,3110,TREND-ARLINGTON,OTTAWA,1,15,Car-Dependent,2023-02-01 02:45:11.782880,45.3315,-75.795,59,Bikeable
3,Unknown Point Feature,1419705,3,9.8,4,4,35061288007,ON45340758,35,45.332229,-75.789984,3110,TREND-ARLINGTON,OTTAWA,1,18,Car-Dependent,2023-02-01 02:37:21.375350,45.3315,-75.7905,65,Bikeable
4,Unknown Point Feature,1420875,4,25.5,9,9,35061323002,ON45340758,35,45.330418,-75.786137,3110,TREND-ARLINGTON,OTTAWA,1,30,Car-Dependent,2023-02-01 02:43:52.667046,45.33,-75.786,74,Very Bikeable
3,Unknown Point Feature,1397141,3,17.047619047619,7.47619047619048,7.47619047619048,35060582011,ON45340758,35,45.323296,-75.780695,3110,TREND-ARLINGTON,OTTAWA,1,39,Car-Dependent,2023-02-01 02:44:29.621920,45.324,-75.78,81,Very Bikeable
4,Unknown Point Feature,1397134,4,17.047619047619,7.47619047619048,7.47619047619048,35060582011,ON45340758,35,45.324346,-75.778598,3110,TREND-ARLINGTON,OTTAWA,1,40,Car-Dependent,2023-02-01 02:40:11.270873,45.324,-75.7785,81,Very Bikeable
4,Unknown Point Feature,1420926,4,5.88888888888889,2.14814814814815,2.11111111111111,35061323007,ON45340758,35,45.329441,-75.781608,3110,TREND-ARLINGTON,OTTAWA,1,39,Car-Dependent,2023-02-01 02:40:26.895055,45.33,-75.7815,80,Very Bikeable
4,Unknown Point Feature,1397149,4,25,9.75,9.75,35060585002,ON45340758,35,45.329482,-75.791145,3110,TREND-ARLINGTON,OTTAWA,1,24,Car-Dependent,2023-02-01 02:37:21.736359,45.33,-75.7905,70,Very Bikeable
3,Unknown Point Feature,1397118,3,10.6363636363636,3.54545454545455,3.54545454545455,35060582003,ON45340758,35,45.322675,-75.781462,3110,TREND-ARLINGTON,OTTAWA,1,36,Car-Dependent,2023-02-01 02:38:48.427079,45.3225,-75.7815,77,Very Bikeable
3,Unknown Point Feature,1419699,3,5.85714285714286,2,2,35061288006,ON45340758,35,45.331786,-75.794271,3110,TREND-ARLINGTON,OTTAWA,1,15,Car-Dependent,2023-02-01 02:45:11.782880,45.3315,-75.795,59,Bikeable
4,Unknown Point Feature,1420886,4,11.6875,4.1875,4.0625,35061323004,ON45340758,35,45.329535,-75.783279,3110,TREND-ARLINGTON,OTTAWA,1,27,Car-Dependent,2023-02-01 02:41:15.638382,45.33,-75.783,78,Very Bikeable
3,Unknown Point Feature,1397155,3,16.5555555555556,7.66666666666667,7.66666666666667,35060585003,ON45340758,35,45.32774,-75.791683,3110,TREND-ARLINGTON,OTTAWA,1,24,Car-Dependent,2023-02-01 02:42:24.031816,45.327,-75.792,70,Very Bikeable
3,Unknown Point Feature,1420917,3,5.88888888888889,2.14814814814815,2.11111111111111,35061323007,ON45340758,35,45.3286,-75.787912,3110,TREND-ARLINGTON,OTTAWA,1,29,Car-Dependent,2023-02-01 02:37:18.879979,45.3285,-75.7875,70,Very Bikeable
4,Unknown Point Feature,1397125,4,17.047619047619,7.47619047619048,7.47619047619048,35060582011,ON45340758,35,45.324401,-75.7784,3110,TREND-ARLINGTON,OTTAWA,1,40,Car-Dependent,2023-02-01 02:40:11.270873,45.324,-75.7785,81,Very Bikeable
4,Unknown Point Feature,1398304,4,17.875,6.72916666666667,6.6875,35060623017,ON45340758,35,45.330865,-75.795129,3110,TREND-ARLINGTON,OTTAWA,1,15,Car-Dependent,2023-02-01 02:45:11.782880,45.3315,-75.795,59,Bikeable
4,Unknown Point Feature,1419694,4,5.85714285714286,2,2,35061288006,ON45340758,35,45.331872,-75.791112,3110,TREND-ARLINGTON,OTTAWA,1,18,Car-Dependent,2023-02-01 02:37:21.375350,45.3315,-75.7905,65,Bikeable
3,Unknown Point Feature,1398309,3,11.875,3.625,3.625,35060624001,ON45340758,35,45.323188,-75.788643,3110,TREND-ARLINGTON,OTTAWA,1,19,Car-Dependent,2023-02-01 02:43:38.535017,45.3225,-75.789,69,Bikeable
4,Unknown Point Feature,1398279,4,17.875,6.72916666666667,6.6875,35060623017,ON45340758,35,45.322954,-75.788461,3110,TREND-ARLINGTON,OTTAWA,1,19,Car-Dependent,2023-02-01 02:43:38.535017,45.3225,-75.789,69,Bikeable
4,Unknown Point Feature,1398259,4,17.875,6.72916666666667,6.6875,35060623017,ON45340758,35,45.322578,-75.792053,3110,TREND-ARLINGTON,OTTAWA,1,17,Car-Dependent,2023-02-01 02:41:11.652804,45.3225,-75.792,64,Bikeable
3,Unknown Point Feature,1398356,3,39.2,13,12.8,35060625002,ON45340758,35,45.32835,-75.793216,3110,TREND-ARLINGTON,OTTAWA,1,21,Car-Dependent,2023-02-01 02:39:56.786176,45.3285,-75.7935,67,Bikeable
3,Unknown Point Feature,1398363,3,40.3333333333333,15.3333333333333,15.3333333333333,35060625004,ON45340758,35,45.326283,-75.79433,3110,TREND-ARLINGTON,OTTAWA,1,18,Car-Dependent,2023-02-01 02:44:28.068771,45.327,-75.795,65,Bikeable
3,Unknown Point Feature,1398331,3,11.8,4.6,4.6,35060624004,ON45340758,35,45.320337,-75.789359,3110,TREND-ARLINGTON,OTTAWA,1,5,Car-Dependent,2022-12-23 23:20:19.770372,45.321,-75.789,63,Bikeable
4,Unknown Point Feature,1398325,4,22,8.75,8.75,35060624003,ON45340758,35,45.322453,-75.786979,3110,TREND-ARLINGTON,OTTAWA,1,22,Car-Dependent,2023-02-01 02:45:19.555852,45.3225,-75.7875,67,Bikeable
3,Unknown Point Feature,1419690,3,12.75,4.25,4.25,35061288005,ON45340758,35,45.332074,-75.787844,3110,TREND-ARLINGTON,OTTAWA,1,22,Car-Dependent,2023-02-01 02:44:27.072315,45.3315,-75.7875,67,Bikeable
3,Unknown Point Feature,1420907,3,5.88888888888889,2.14814814814815,2.11111111111111,35061323007,ON45340758,35,45.329031,-75.78602,3110,TREND-ARLINGTON,OTTAWA,1,33,Car-Dependent,2023-02-01 02:44:56.138532,45.3285,-75.786,71,Very Bikeable
3,Unknown Point Feature,1398292,3,17.875,6.72916666666667,6.6875,35060623017,ON45340758,35,45.325779,-75.789969,3110,TREND-ARLINGTON,OTTAWA,1,25,Car-Dependent,2023-02-01 02:37:32.092506,45.3255,-75.7905,71,Very Bikeable
3,Unknown Point Feature,1420918,3,5.88888888888889,2.14814814814815,2.11111111111111,35061323007,ON45340758,35,45.329301,-75.783097,3110,TREND-ARLINGTON,OTTAWA,1,27,Car-Dependent,2023-02-01 02:41:15.638382,45.33,-75.783,78,Very Bikeable
4,Unknown Point Feature,1397161,4,16.5555555555556,7.66666666666667,7.66666666666667,35060585003,ON45340758,35,45.329134,-75.792094,3110,TREND-ARLINGTON,OTTAWA,1,23,Car-Dependent,2023-02-01 02:45:37.032336,45.3285,-75.792,70,Very Bikeable
4,Unknown Point Feature,1398343,4,22.6666666666667,10.4166666666667,10.25,35060624007,ON45340758,35,45.321211,-75.783849,3110,TREND-ARLINGTON,OTTAWA,1,28,Car-Dependent,2023-02-01 02:40:08.079705,45.321,-75.7845,69,Bikeable
3,Unknown Point Feature,1398318,3,11.375,4.375,4.375,35060624002,ON45340758,35,45.322555,-75.790225,3110,TREND-ARLINGTON,OTTAWA,1,17,Car-Dependent,2023-02-01 02:43:20.801876,45.3225,-75.7905,65,Bikeable
4,Unknown Point Feature,1420910,4,5.88888888888889,2.14814814814815,2.11111111111111,35061323007,ON45340758,35,45.328416,-75.781001,3110,TREND-ARLINGTON,OTTAWA,1,41,Car-Dependent,2023-02-01 02:45:32.552123,45.3285,-75.7815,82,Very Bikeable
3,Unknown Point Feature,1397115,3,10.6363636363636,3.54545454545455,3.54545454545455,35060582003,ON45340758,35,45.322167,-75.78319,3110,TREND-ARLINGTON,OTTAWA,1,35,Car-Dependent,2023-02-01 02:44:18.400426,45.3225,-75.783,77,Very Bikeable
3,Unknown Point Feature,1398334,3,11.8,4.6,4.6,35060624004,ON45340758,35,45.321068,-75.788816,3110,TREND-ARLINGTON,OTTAWA,1,5,Car-Dependent,2022-12-23 23:20:19.770372,45.321,-75.789,63,Bikeable
3,Unknown Point Feature,1397102,3,12.8,4.6,4.6,35060582001,ON45340758,35,45.323696,-75.783503,3110,TREND-ARLINGTON,OTTAWA,1,38,Car-Dependent,2023-02-01 02:44:48.773012,45.324,-75.783,80,Very Bikeable
4,Unknown Point Feature,1398275,4,17.875,6.72916666666667,6.6875,35060623017,ON45340758,35,45.326259,-75.78882,3110,TREND-ARLINGTON,OTTAWA,1,26,Car-Dependent,2023-02-01 02:43:00.280731,45.327,-75.789,73,Very Bikeable
3,Unknown Point Feature,1420903,3,34.5,12.3333333333333,12.3333333333333,35061323005,ON45340758,35,45.323694,-75.781739,3110,TREND-ARLINGTON,OTTAWA,1,39,Car-Dependent,2023-02-01 02:41:25.108289,45.324,-75.7815,82,Very Bikeable
3,Unknown Point Feature,1419711,3,14.25,5.25,5.25,35061288008,ON45340758,35,45.329866,-75.787772,3110,TREND-ARLINGTON,OTTAWA,1,26,Car-Dependent,2023-02-01 02:45:57.213432,45.33,-75.7875,69,Bikeable
4,Unknown Point Feature,1397143,4,17.5,5.75,5.75,35060585001,ON45340758,35,45.329761,-75.789885,3110,TREND-ARLINGTON,OTTAWA,1,24,Car-Dependent,2023-02-01 02:37:21.736359,45.33,-75.7905,70,Very Bikeable
3,Unknown Point Feature,1419684,3,6.83333333333333,2.5,2.5,35061288004,ON45340758,35,45.332078,-75.795818,3110,TREND-ARLINGTON,OTTAWA,1,11,Car-Dependent,2022-09-16 20:40:32.552344,45.3315,-75.7965,58,Bikeable
3,Unknown Point Feature,1397150,3,25,9.75,9.75,35060585002,ON45340758,35,45.32788,-75.790111,3110,TREND-ARLINGTON,OTTAWA,1,24,Car-Dependent,2023-02-01 02:40:48.620428,45.3285,-75.7905,72,Very Bikeable
4,Unknown Point Feature,1420905,4,34.5,12.3333333333333,12.3333333333333,35061323005,ON45340758,35,45.325188,-75.783219,3110,TREND-ARLINGTON,OTTAWA,1,39,Car-Dependent,2023-02-01 02:37:24.491131,45.3255,-75.783,82,Very Bikeable
3,Unknown Point Feature,1419695,3,5.85714285714286,2,2,35061288006,ON45340758,35,45.332248,-75.792538,3110,TREND-ARLINGTON,OTTAWA,1,18,Car-Dependent,2023-02-01 02:39:46.142646,45.3315,-75.792,64,Bikeable
4,Unknown Point Feature,1398351,4,28.5,10.5,10.5,35060625001,ON45340758,35,45.328283,-75.793581,3110,TREND-ARLINGTON,OTTAWA,1,21,Car-Dependent,2023-02-01 02:39:56.786176,45.3285,-75.7935,67,Bikeable
3,Unknown Point Feature,1398332,3,11.8,4.6,4.6,35060624004,ON45340758,35,45.319613,-75.789106,3110,TREND-ARLINGTON,OTTAWA,1,12,Car-Dependent,2023-02-01 02:44:25.207255,45.3195,-75.789,63,Bikeable
4,Unknown Point Feature,1420908,4,5.88888888888889,2.14814814814815,2.11111111111111,35061323007,ON45340758,35,45.328795,-75.784887,3110,TREND-ARLINGTON,OTTAWA,1,35,Car-Dependent,2023-02-01 02:44:21.821952,45.3285,-75.7845,80,Very Bikeable
3,Unknown Point Feature,1419702,3,9.8,4,4,35061288007,ON45340758,35,45.331643,-75.790921,3110,TREND-ARLINGTON,OTTAWA,1,18,Car-Dependent,2023-02-01 02:37:21.375350,45.3315,-75.7905,65,Bikeable
4,Unknown Point Feature,1397158,4,16.5555555555556,7.66666666666667,7.66666666666667,35060585003,ON45340758,35,45.326971,-75.787465,3110,TREND-ARLINGTON,OTTAWA,1,32,Car-Dependent,2023-02-01 02:42:36.375912,45.327,-75.7875,73,Very Bikeable
3,Unknown Point Feature,1398328,3,22,8.75,8.75,35060624003,ON45340758,35,45.321849,-75.788929,3110,TREND-ARLINGTON,OTTAWA,1,19,Car-Dependent,2023-02-01 02:43:38.535017,45.3225,-75.789,69,Bikeable
3,Unknown Point Feature,1397138,3,17.047619047619,7.47619047619048,7.47619047619048,35060582011,ON45340758,35,45.321012,-75.782635,3110,TREND-ARLINGTON,OTTAWA,1,29,Car-Dependent,2023-02-01 02:43:04.984925,45.321,-75.783,72,Very Bikeable
3,Unknown Point Feature,1420891,3,11.6875,4.1875,4.0625,35061323004,ON45340758,35,45.330486,-75.786501,3110,TREND-ARLINGTON,OTTAWA,1,30,Car-Dependent,2023-02-01 02:43:52.667046,45.33,-75.786,74,Very Bikeable
4,Unknown Point Feature,1420895,4,11.6875,4.1875,4.0625,35061323004,ON45340758,35,45.329941,-75.787409,3110,TREND-ARLINGTON,OTTAWA,1,26,Car-Dependent,2023-02-01 02:45:57.213432,45.33,-75.7875,69,Bikeable
4,Unknown Point Feature,1398296,4,17.875,6.72916666666667,6.6875,35060623017,ON45340758,35,45.324657,-75.790217,3110,TREND-ARLINGTON,OTTAWA,1,21,Car-Dependent,2023-02-01 02:44:35.365031,45.324,-75.7905,68,Bikeable
3,Unknown Point Feature,1419707,3,14.25,5.25,5.25,35061288008,ON45340758,35,45.328978,-75.788591,3110,TREND-ARLINGTON,OTTAWA,1,27,Car-Dependent,2023-02-01 02:46:14.802259,45.3285,-75.789,73,Very Bikeable
4,Unknown Point Feature,1398265,4,17.875,6.72916666666667,6.6875,35060623017,ON45340758,35,45.319372,-75.788949,3110,TREND-ARLINGTON,OTTAWA,1,12,Car-Dependent,2023-02-01 02:44:25.207255,45.3195,-75.789,63,Bikeable
3,Unknown Point Feature,1398357,3,39.2,13,12.8,35060625002,ON45340758,35,45.327132,-75.792312,3110,TREND-ARLINGTON,OTTAWA,1,24,Car-Dependent,2023-02-01 02:42:24.031816,45.327,-75.792,70,Very Bikeable
3,Unknown Point Feature,1398358,3,18.3333333333333,6.33333333333333,6.33333333333333,35060625003,ON45340758,35,45.325985,-75.792296,3110,TREND-ARLINGTON,OTTAWA,1,22,Car-Dependent,2023-02-01 02:43:22.904179,45.3255,-75.792,68,Bikeable
4,Unknown Point Feature,1420876,4,25.5,9,9,35061323002,ON45340758,35,45.330888,-75.784444,3110,TREND-ARLINGTON,OTTAWA,1,23,Car-Dependent,2023-02-01 02:40:05.484299,45.3315,-75.7845,70,Very Bikeable
4,Unknown Point Feature,1398348,4,22.6666666666667,10.4166666666667,10.25,35060624007,ON45340758,35,45.325238,-75.786044,3110,TREND-ARLINGTON,OTTAWA,1,6,Car-Dependent,2022-12-20 10:19:12.679017,45.3255,-75.786,73,Very Bikeable
3,Unknown Point Feature,1419663,3,17.1818181818182,6.27272727272727,6,35061288001,ON45340758,35,45.329714,-75.791332,3110,TREND-ARLINGTON,OTTAWA,1,18,Car-Dependent,2023-02-01 02:46:22.189468,45.33,-75.792,67,Bikeable
3,Unknown Point Feature,1398344,3,22.6666666666667,10.4166666666667,10.25,35060624007,ON45340758,35,45.320622,-75.787725,3110,TREND-ARLINGTON,OTTAWA,1,16,Car-Dependent,2023-02-01 02:40:13.353800,45.321,-75.7875,64,Bikeable
4,Unknown Point Feature,1420904,4,34.5,12.3333333333333,12.3333333333333,35061323005,ON45340758,35,45.323532,-75.780869,3110,TREND-ARLINGTON,OTTAWA,1,39,Car-Dependent,2023-02-01 02:41:25.108289,45.324,-75.7815,82,Very Bikeable
3,Unknown Point Feature,1398314,3,11.875,3.625,3.625,35060624001,ON45340758,35,45.324748,-75.788369,3110,TREND-ARLINGTON,OTTAWA,1,22,Car-Dependent,2023-02-01 02:40:29.127585,45.324,-75.789,69,Bikeable
3,Unknown Point Feature,1398260,3,17.875,6.72916666666667,6.6875,35060623017,ON45340758,35,45.332563,-75.790963,3110,TREND-ARLINGTON,OTTAWA,1,19,Car-Dependent,2023-02-01 02:46:11.015711,45.333,-75.7905,63,Bikeable
4,Unknown Point Feature,1397171,4,73.8,37.3,36.3,35060588006,ON45340758,35,45.332269,-75.784376,3110,TREND-ARLINGTON,OTTAWA,1,20,Car-Dependent,2023-02-01 02:38:03.900469,45.333,-75.7845,70,Very Bikeable
3,Unknown Point Feature,1397117,3,10.6363636363636,3.54545454545455,3.54545454545455,35060582003,ON45340758,35,45.321434000000004,-75.782292,3110,TREND-ARLINGTON,OTTAWA,1,29,Car-Dependent,2023-02-01 02:43:04.984925,45.321,-75.783,72,Very Bikeable
3,Unknown Point Feature,1420932,3,5.88888888888889,2.14814814814815,2.11111111111111,35061323007,ON45340758,35,45.325492,-75.785929,3110,TREND-ARLINGTON,OTTAWA,1,6,Car-Dependent,2022-12-20 10:19:12.679017,45.3255,-75.786,73,Very Bikeable
4,Unknown Point Feature,1419675,4,13.8,4.6,4.6,35061288003,ON45340758,35,45.330124,-75.793566,3110,TREND-ARLINGTON,OTTAWA,1,20,Car-Dependent,2023-02-01 02:41:08.960848,45.33,-75.7935,65,Bikeable
4,Unknown Point Feature,1398313,4,11.875,3.625,3.625,35060624001,ON45340758,35,45.324341,-75.787256,3110,TREND-ARLINGTON,OTTAWA,1,27,Car-Dependent,2023-02-01 02:43:32.597869,45.324,-75.7875,71,Very Bikeable
4,Unknown Point Feature,1398287,4,17.875,6.72916666666667,6.6875,35060623017,ON45340758,35,45.319214,-75.787762,3110,TREND-ARLINGTON,OTTAWA,1,15,Car-Dependent,2023-02-01 02:39:02.961510,45.3195,-75.7875,62,Bikeable
3,Unknown Point Feature,1420909,3,5.88888888888889,2.14814814814815,2.11111111111111,35061323007,ON45340758,35,45.328845,-75.784519,3110,TREND-ARLINGTON,OTTAWA,1,35,Car-Dependent,2023-02-01 02:44:21.821952,45.3285,-75.7845,80,Very Bikeable
3,Unknown Point Feature,1419682,3,6.83333333333333,2.5,2.5,35061288004,ON45340758,35,45.33156,-75.795439,3110,TREND-ARLINGTON,OTTAWA,1,15,Car-Dependent,2023-02-01 02:45:11.782880,45.3315,-75.795,59,Bikeable
3,Unknown Point Feature,1419670,3,17.1818181818182,6.27272727272727,6,35061288001,ON45340758,35,45.329378,-75.792239,3110,TREND-ARLINGTON,OTTAWA,1,18,Car-Dependent,2023-02-01 02:46:22.189468,45.33,-75.792,67,Bikeable
4,Unknown Point Feature,1397172,4,73.8,37.3,36.3,35060588006,ON45340758,35,45.332379,-75.783144,3110,TREND-ARLINGTON,OTTAWA,1,30,Car-Dependent,2023-02-01 02:43:52.992512,45.333,-75.783,75,Very Bikeable
3,Unknown Point Feature,1397137,3,17.047619047619,7.47619047619048,7.47619047619048,35060582011,ON45340758,35,45.323175,-75.781002,3110,TREND-ARLINGTON,OTTAWA,1,36,Car-Dependent,2023-02-01 02:38:48.427079,45.3225,-75.7815,77,Very Bikeable
4,Unknown Point Feature,1398274,4,17.875,6.72916666666667,6.6875,35060623017,ON45340758,35,45.322325,-75.790037,3110,TREND-ARLINGTON,OTTAWA,1,17,Car-Dependent,2023-02-01 02:43:20.801876,45.3225,-75.7905,65,Bikeable
4,Unknown Point Feature,1419680,4,13.8,4.6,4.6,35061288003,ON45340758,35,45.329995,-75.794946,3110,TREND-ARLINGTON,OTTAWA,1,17,Car-Dependent,2023-02-01 02:38:19.636782,45.33,-75.795,61,Bikeable
4,Unknown Point Feature,1412383,4,9.66666666666667,3.26666666666667,3.2,35061117003,ON45430754,35,45.420554,-75.41815,3076,NAVAN - SARSFIELD,OTTAWA,1,12,Car-Dependent,2022-09-22 03:16:06.307786,45.42,-75.4185,44,Somewhat Bikeable
3,Unknown Point Feature,1382173,3,1.69565217391304,0.652173913043478,0.608695652173913,35060007004,ON45460754,35,45.449287,-75.382976,3076,NAVAN - SARSFIELD,OTTAWA,1,0,Car-Dependent,2023-02-08 18:56:35.778569,45.45,-75.3825,35,Somewhat Bikeable
4,Unknown Point Feature,1413022,4,5.5,1.625,1.625,35061123005,ON45460754,35,45.442123,-75.343041,3076,NAVAN - SARSFIELD,OTTAWA,1,5,Car-Dependent,2023-02-01 02:20:15.675666,45.4425,-75.3435,29,Somewhat Bikeable
4,Unknown Point Feature,1412452,4,3.86666666666667,1.4,1.4,35061118002,ON45410754,35,45.431326,-75.374662,3076,NAVAN - SARSFIELD,OTTAWA,1,0,Car-Dependent,2022-10-13 15:47:23.452038,45.432,-75.375,32,Somewhat Bikeable
3,Unknown Point Feature,1412408,3,43.5,14,14,35061117006,ON45430754,35,45.416262,-75.420177,3076,NAVAN - SARSFIELD,OTTAWA,1,11,Car-Dependent,2022-08-12 06:17:37.163641,45.417,-75.42,48,Somewhat Bikeable
4,Unknown Point Feature,1412313,4,11.2307692307692,4,4,35061115008,ON45430754,35,45.418521,-75.444771,3076,NAVAN - SARSFIELD,OTTAWA,1,1,Car-Dependent,2023-02-01 02:20:46.609760,45.4185,-75.4455,39,Somewhat Bikeable
3,Unknown Point Feature,1411991,3,2.04545454545455,0.818181818181818,0.818181818181818,35061113004,ON45410754,35,45.40419,-75.398121,3076,NAVAN - SARSFIELD,OTTAWA,1,3,Car-Dependent,2023-02-08 18:56:35.722374,45.4035,-75.3975,26,Somewhat Bikeable
